"NormType","SubjectBid","Grade","CoeffX","Index","x1","x2","x3","x4"
2020,1,0,1,"1_0_1",29.4485663,-15.3193635,0,NA
2020,1,0,2,"1_0_2",-15.3193635,71.8973598,0,NA
2020,1,0,3,"1_0_3",0,0,0,NA
2020,1,1,1,"1_1_1",34.2523815,0.6371792,-0.0328177,0.0279554
2020,1,1,2,"1_1_2",0.6371792,5.2105811,0.0867989,-0.1149192
2020,1,1,3,"1_1_3",-0.0328177,0.0867989,0.0080799,-0.002622
2020,1,1,4,"1_1_4",0.0279554,-0.1149192,-0.002622,0.00906
2020,1,2,1,"1_2_1",33.5081828,0.6409994,0.0065573,-0.017049
2020,1,2,2,"1_2_2",0.6409994,3.0292804,0.0598742,-0.0433769
2020,1,2,3,"1_2_3",0.0065573,0.0598742,0.0065411,-0.00167
2020,1,2,4,"1_2_4",-0.017049,-0.0433769,-0.00167,0.0067838
2020,1,3,1,"1_3_1",35.5322522,1.6108707,0.0579706,0.0368247
2020,1,3,2,"1_3_2",1.6108707,2.3977779,0.0578477,-0.0288557
2020,1,3,3,"1_3_3",0.0579706,0.0578477,0.0057446,-0.0003965
2020,1,3,4,"1_3_4",0.0368247,-0.0288557,-0.0003965,0.0052651
2020,1,4,1,"1_4_1",44.4337539,2.8105917,0.0996854,0.0809573
2020,1,4,2,"1_4_2",2.8105917,1.9539812,0.0477181,-0.0166433
2020,1,4,3,"1_4_3",0.0996854,0.0477181,0.0052252,0.000694
2020,1,4,4,"1_4_4",0.0809573,-0.0166433,0.000694,0.0051655
2020,1,5,1,"1_5_1",53.6899175,4.9582201,0.1801617,0.0196258
2020,1,5,2,"1_5_2",4.9582201,3.3562068,0.0531786,-0.0597928
2020,1,5,3,"1_5_3",0.1801617,0.0531786,0.0074889,0.0022754
2020,1,5,4,"1_5_4",0.0196258,-0.0597928,0.0022754,0.0072229
2020,1,6,1,"1_6_1",60.8101804,3.1866524,0.1229747,-0.0866239
2020,1,6,2,"1_6_2",3.1866524,3.1700774,0.0644677,-0.0381303
2020,1,6,3,"1_6_3",0.1229747,0.0644677,0.0063845,0.0003549
2020,1,6,4,"1_6_4",-0.0866239,-0.0381303,0.0003549,0.0062663
2020,1,7,1,"1_7_1",74.4403179,4.7503599,0.1146321,-0.0764463
2020,1,7,2,"1_7_2",4.7503599,2.8522667,0.0702659,-0.0448233
2020,1,7,3,"1_7_3",0.1146321,0.0702659,0.0055278,-0.0007447
2020,1,7,4,"1_7_4",-0.0764463,-0.0448233,-0.0007447,0.0038649
2020,1,8,1,"1_8_1",94.0823752,8.5937254,0.0521483,-0.1196838
2020,1,8,2,"1_8_2",8.5937254,4.0944572,0.0300551,-0.092622
2020,1,8,3,"1_8_3",0.0521483,0.0300551,0.0074469,0.0028834
2020,1,8,4,"1_8_4",-0.1196838,-0.092622,0.0028834,0.0079192
2020,1,9,1,"1_9_1",99.2502877,0.8293675,-0.0024876,0.0030497
2020,1,9,2,"1_9_2",0.8293675,2.919732,0.0704983,-0.0482901
2020,1,9,3,"1_9_3",-0.0024876,0.0704983,0.0047559,-0.0019113
2020,1,9,4,"1_9_4",0.0030497,-0.0482901,-0.0019113,0.0039742
2020,1,10,1,"1_10_1",104.8480228,4.5050194,0.0382681,-0.0392726
2020,1,10,2,"1_10_2",4.5050194,2.9358255,0.0307501,-0.0521257
2020,1,10,3,"1_10_3",0.0382681,0.0307501,0.0052161,0.0016311
2020,1,10,4,"1_10_4",-0.0392726,-0.0521257,0.0016311,0.0051033
2020,1,11,1,"1_11_1",108.9171818,4.8477804,0.0185589,-0.1339514
2020,1,11,2,"1_11_2",4.8477804,3.4806093,0.0349787,-0.0860912
2020,1,11,3,"1_11_3",0.0185589,0.0349787,0.0051677,0.0016227
2020,1,11,4,"1_11_4",-0.1339514,-0.0860912,0.0016227,0.0065514
2020,1,12,1,"1_12_1",123.821843,9.0929112,0,NA
2020,1,12,2,"1_12_2",9.0929112,58.038736,0,NA
2020,1,12,3,"1_12_3",0,0,0,NA
2020,2,0,1,"2_0_1",27.5358727,-10.0954071,0,NA
2020,2,0,2,"2_0_2",-10.0954071,79.1360422,0,NA
2020,2,0,3,"2_0_3",0,0,0,NA
2020,2,1,1,"2_1_1",29.3259954,6.3535641,0.094437,-0.0746253
2020,2,1,2,"2_1_2",6.3535641,6.9864673,0.1142562,-0.1486564
2020,2,1,3,"2_1_3",0.094437,0.1142562,0.008424,-0.0031242
2020,2,1,4,"2_1_4",-0.0746253,-0.1486564,-0.0031242,0.0109294
2020,2,2,1,"2_2_1",42.1695592,2.4919326,0.0451616,-0.1297514
2020,2,2,2,"2_2_2",2.4919326,4.7590545,0.0388095,-0.0680867
2020,2,2,3,"2_2_3",0.0451616,0.0388095,0.0080899,-0.0020973
2020,2,2,4,"2_2_4",-0.1297514,-0.0680867,-0.0020973,0.0086569
2020,2,3,1,"2_3_1",51.4652714,-1.3161832,-0.0807415,-0.0931371
2020,2,3,2,"2_3_2",-1.3161832,3.466012,0.0544759,-0.0634738
2020,2,3,3,"2_3_3",-0.0807415,0.0544759,0.0058529,-0.0009369
2020,2,3,4,"2_3_4",-0.0931371,-0.0634738,-0.0009369,0.0070175
2020,2,4,1,"2_4_1",52.2351678,-2.1374872,-0.1057991,-0.0432947
2020,2,4,2,"2_4_2",-2.1374872,2.0438601,0.0342917,-0.0394488
2020,2,4,3,"2_4_3",-0.1057991,0.0342917,0.0056863,-0.0010538
2020,2,4,4,"2_4_4",-0.0432947,-0.0394488,-0.0010538,0.0054898
2020,2,5,1,"2_5_1",50.4870288,-1.2089911,-0.0946403,-0.0298041
2020,2,5,2,"2_5_2",-1.2089911,2.7383651,0.033188,-0.057033
2020,2,5,3,"2_5_3",-0.0946403,0.033188,0.0051569,0.0003658
2020,2,5,4,"2_5_4",-0.0298041,-0.057033,0.0003658,0.005642
2020,2,6,1,"2_6_1",51.1431079,-1.9212941,-0.1074438,-0.0569405
2020,2,6,2,"2_6_2",-1.9212941,2.5812958,0.0367428,-0.0201665
2020,2,6,3,"2_6_3",-0.1074438,0.0367428,0.0040775,-9.56e-05
2020,2,6,4,"2_6_4",-0.0569405,-0.0201665,-9.56e-05,0.0037195
2020,2,7,1,"2_7_1",52.7540448,-2.5988036,-0.0828473,-0.0545001
2020,2,7,2,"2_7_2",-2.5988036,1.9756043,0.0385872,-0.0409249
2020,2,7,3,"2_7_3",-0.0828473,0.0385872,0.0040443,-0.0013814
2020,2,7,4,"2_7_4",-0.0545001,-0.0409249,-0.0013814,0.0041276
2020,2,8,1,"2_8_1",61.9494095,1.3572907,-0.1106149,-0.1054931
2020,2,8,2,"2_8_2",1.3572907,2.6228775,-0.0005407,-0.0715953
