"measurementscale","fallwinterspring","grade","RIT","school_percentile"
"Mathematics","Fall",0,133,5
"Mathematics","Fall",1,150,5
"Mathematics","Fall",2,162,5
"Mathematics","Fall",3,172,5
"Mathematics","Fall",4,185,5
"Mathematics","Fall",5,193,5
"Mathematics","Fall",6,197,5
"Mathematics","Fall",7,202,5
"Mathematics","Fall",8,205,5
"Mathematics","Fall",9,206,5
"Mathematics","Fall",10,206,5
"Mathematics","Fall",11,208,5
"Mathematics","Fall",12,205,5
"Mathematics","Fall",0,135,10
"Mathematics","Fall",1,152,10
"Mathematics","Fall",2,164,10
"Mathematics","Fall",3,175,10
"Mathematics","Fall",4,187,10
"Mathematics","Fall",5,196,10
"Mathematics","Fall",6,200,10
"Mathematics","Fall",7,205,10
"Mathematics","Fall",8,208,10
"Mathematics","Fall",9,210,10
"Mathematics","Fall",10,210,10
"Mathematics","Fall",11,212,10
"Mathematics","Fall",12,209,10
"Mathematics","Fall",0,136,15
"Mathematics","Fall",1,154,15
"Mathematics","Fall",2,166,15
"Mathematics","Fall",3,177,15
"Mathematics","Fall",4,189,15
"Mathematics","Fall",5,198,15
"Mathematics","Fall",6,202,15
"Mathematics","Fall",7,208,15
"Mathematics","Fall",8,211,15
"Mathematics","Fall",9,213,15
"Mathematics","Fall",10,213,15
"Mathematics","Fall",11,215,15
"Mathematics","Fall",12,212,15
"Mathematics","Fall",0,137,20
"Mathematics","Fall",1,155,20
"Mathematics","Fall",2,167,20
"Mathematics","Fall",3,178,20
"Mathematics","Fall",4,190,20
"Mathematics","Fall",5,199,20
"Mathematics","Fall",6,203,20
"Mathematics","Fall",7,209,20
"Mathematics","Fall",8,212,20
"Mathematics","Fall",9,215,20
"Mathematics","Fall",10,215,20
"Mathematics","Fall",11,217,20
"Mathematics","Fall",12,215,20
"Mathematics","Fall",0,138,25
"Mathematics","Fall",1,156,25
"Mathematics","Fall",2,169,25
"Mathematics","Fall",3,179,25
"Mathematics","Fall",4,192,25
"Mathematics","Fall",5,201,25
"Mathematics","Fall",6,205,25
"Mathematics","Fall",7,211,25
"Mathematics","Fall",8,214,25
"Mathematics","Fall",9,217,25
"Mathematics","Fall",10,217,25
"Mathematics","Fall",11,219,25
"Mathematics","Fall",12,216,25
"Mathematics","Fall",0,139,30
"Mathematics","Fall",1,157,30
"Mathematics","Fall",2,170,30
"Mathematics","Fall",3,180,30
"Mathematics","Fall",4,193,30
"Mathematics","Fall",5,202,30
"Mathematics","Fall",6,206,30
"Mathematics","Fall",7,212,30
"Mathematics","Fall",8,215,30
"Mathematics","Fall",9,218,30
"Mathematics","Fall",10,219,30
"Mathematics","Fall",11,221,30
"Mathematics","Fall",12,218,30
"Mathematics","Fall",0,140,35
"Mathematics","Fall",1,157,35
"Mathematics","Fall",2,171,35
"Mathematics","Fall",3,181,35
"Mathematics","Fall",4,194,35
"Mathematics","Fall",5,203,35
"Mathematics","Fall",6,207,35
"Mathematics","Fall",7,213,35
"Mathematics","Fall",8,217,35
"Mathematics","Fall",9,220,35
"Mathematics","Fall",10,221,35
"Mathematics","Fall",11,223,35
"Mathematics","Fall",12,220,35
"Mathematics","Fall",0,140,40
"Mathematics","Fall",1,158,40
"Mathematics","Fall",2,171,40
"Mathematics","Fall",3,182,40
"Mathematics","Fall",4,194,40
"Mathematics","Fall",5,204,40
"Mathematics","Fall",6,208,40
"Mathematics","Fall",7,214,40
"Mathematics","Fall",8,218,40
"Mathematics","Fall",9,221,40
"Mathematics","Fall",10,222,40
"Mathematics","Fall",11,224,40
"Mathematics","Fall",12,221,40
"Mathematics","Fall",0,141,45
"Mathematics","Fall",1,159,45
"Mathematics","Fall",2,172,45
"Mathematics","Fall",3,183,45
"Mathematics","Fall",4,195,45
"Mathematics","Fall",5,205,45
"Mathematics","Fall",6,209,45
"Mathematics","Fall",7,215,45
"Mathematics","Fall",8,219,45
"Mathematics","Fall",9,223,45
"Mathematics","Fall",10,224,45
"Mathematics","Fall",11,226,45
"Mathematics","Fall",12,223,45
"Mathematics","Fall",0,142,50
"Mathematics","Fall",1,159,50
"Mathematics","Fall",2,173,50
"Mathematics","Fall",3,184,50
"Mathematics","Fall",4,196,50
"Mathematics","Fall",5,206,50
"Mathematics","Fall",6,210,50
"Mathematics","Fall",7,217,50
"Mathematics","Fall",8,220,50
"Mathematics","Fall",9,224,50
"Mathematics","Fall",10,225,50
"Mathematics","Fall",11,227,50
"Mathematics","Fall",12,224,50
"Mathematics","Fall",0,142,55
"Mathematics","Fall",1,160,55
"Mathematics","Fall",2,174,55
"Mathematics","Fall",3,185,55
"Mathematics","Fall",4,197,55
"Mathematics","Fall",5,207,55
"Mathematics","Fall",6,211,55
"Mathematics","Fall",7,218,55
"Mathematics","Fall",8,222,55
"Mathematics","Fall",9,225,55
"Mathematics","Fall",10,227,55
"Mathematics","Fall",11,229,55
"Mathematics","Fall",12,226,55
"Mathematics","Fall",0,143,60
"Mathematics","Fall",1,161,60
"Mathematics","Fall",2,175,60
"Mathematics","Fall",3,186,60
"Mathematics","Fall",4,198,60
"Mathematics","Fall",5,208,60
"Mathematics","Fall",6,212,60
"Mathematics","Fall",7,219,60
"Mathematics","Fall",8,223,60
"Mathematics","Fall",9,227,60
"Mathematics","Fall",10,228,60
"Mathematics","Fall",11,230,60
"Mathematics","Fall",12,227,60
"Mathematics","Fall",0,144,65
"Mathematics","Fall",1,162,65
"Mathematics","Fall",2,176,65
"Mathematics","Fall",3,187,65
"Mathematics","Fall",4,199,65
"Mathematics","Fall",5,209,65
"Mathematics","Fall",6,213,65
"Mathematics","Fall",7,220,65
"Mathematics","Fall",8,224,65
"Mathematics","Fall",9,228,65
"Mathematics","Fall",10,230,65
"Mathematics","Fall",11,232,65
"Mathematics","Fall",12,229,65
"Mathematics","Fall",0,145,70
"Mathematics","Fall",1,162,70
"Mathematics","Fall",2,177,70
"Mathematics","Fall",3,188,70
"Mathematics","Fall",4,200,70
"Mathematics","Fall",5,210,70
"Mathematics","Fall",6,214,70
"Mathematics","Fall",7,221,70
"Mathematics","Fall",8,226,70
"Mathematics","Fall",9,230,70
"Mathematics","Fall",10,231,70
"Mathematics","Fall",11,233,70
"Mathematics","Fall",12,231,70
"Mathematics","Fall",0,145,75
"Mathematics","Fall",1,163,75
"Mathematics","Fall",2,178,75
"Mathematics","Fall",3,189,75
"Mathematics","Fall",4,201,75
"Mathematics","Fall",5,211,75
"Mathematics","Fall",6,215,75
"Mathematics","Fall",7,222,75
"Mathematics","Fall",8,227,75
"Mathematics","Fall",9,231,75
"Mathematics","Fall",10,233,75
"Mathematics","Fall",11,235,75
"Mathematics","Fall",12,232,75
"Mathematics","Fall",0,146,80
"Mathematics","Fall",1,164,80
"Mathematics","Fall",2,179,80
"Mathematics","Fall",3,190,80
"Mathematics","Fall",4,202,80
"Mathematics","Fall",5,212,80
"Mathematics","Fall",6,216,80
"Mathematics","Fall",7,224,80
"Mathematics","Fall",8,229,80
"Mathematics","Fall",9,233,80
"Mathematics","Fall",10,235,80
"Mathematics","Fall",11,237,80
"Mathematics","Fall",12,234,80
"Mathematics","Fall",0,147,85
"Mathematics","Fall",1,165,85
"Mathematics","Fall",2,181,85
"Mathematics","Fall",3,192,85
"Mathematics","Fall",4,203,85
"Mathematics","Fall",5,214,85
"Mathematics","Fall",6,218,85
"Mathematics","Fall",7,226,85
"Mathematics","Fall",8,230,85
"Mathematics","Fall",9,235,85
"Mathematics","Fall",10,237,85
"Mathematics","Fall",11,239,85
"Mathematics","Fall",12,237,85
"Mathematics","Fall",0,149,90
"Mathematics","Fall",1,167,90
"Mathematics","Fall",2,182,90
"Mathematics","Fall",3,193,90
"Mathematics","Fall",4,205,90
"Mathematics","Fall",5,215,90
"Mathematics","Fall",6,220,90
"Mathematics","Fall",7,228,90
"Mathematics","Fall",8,233,90
"Mathematics","Fall",9,238,90
"Mathematics","Fall",10,240,90
"Mathematics","Fall",11,242,90
"Mathematics","Fall",12,240,90
"Mathematics","Fall",0,151,95
"Mathematics","Fall",1,169,95
"Mathematics","Fall",2,185,95
"Mathematics","Fall",3,196,95
