"measurementscale","fallwinterspring","grade","RIT","student_percentile"
"Mathematics","Fall",0,121,5
"Mathematics","Fall",1,137,5
"Mathematics","Fall",2,147,5
"Mathematics","Fall",3,158,5
"Mathematics","Fall",4,171,5
"Mathematics","Fall",5,180,5
"Mathematics","Fall",6,184,5
"Mathematics","Fall",7,189,5
"Mathematics","Fall",8,192,5
"Mathematics","Fall",9,196,5
"Mathematics","Fall",10,196,5
"Mathematics","Fall",11,195,5
"Mathematics","Fall",12,194,5
"Mathematics","Fall",0,125,10
"Mathematics","Fall",1,142,10
"Mathematics","Fall",2,153,10
"Mathematics","Fall",3,164,10
"Mathematics","Fall",4,177,10
"Mathematics","Fall",5,185,10
"Mathematics","Fall",6,190,10
"Mathematics","Fall",7,195,10
"Mathematics","Fall",8,199,10
"Mathematics","Fall",9,202,10
"Mathematics","Fall",10,203,10
"Mathematics","Fall",11,203,10
"Mathematics","Fall",12,201,10
"Mathematics","Fall",0,128,15
"Mathematics","Fall",1,145,15
"Mathematics","Fall",2,157,15
"Mathematics","Fall",3,168,15
"Mathematics","Fall",4,181,15
"Mathematics","Fall",5,189,15
"Mathematics","Fall",6,194,15
"Mathematics","Fall",7,199,15
"Mathematics","Fall",8,203,15
"Mathematics","Fall",9,207,15
"Mathematics","Fall",10,208,15
"Mathematics","Fall",11,208,15
"Mathematics","Fall",12,206,15
"Mathematics","Fall",0,131,20
"Mathematics","Fall",1,148,20
"Mathematics","Fall",2,160,20
"Mathematics","Fall",3,171,20
"Mathematics","Fall",4,184,20
"Mathematics","Fall",5,193,20
"Mathematics","Fall",6,197,20
"Mathematics","Fall",7,203,20
"Mathematics","Fall",8,207,20
"Mathematics","Fall",9,210,20
"Mathematics","Fall",10,211,20
"Mathematics","Fall",11,212,20
"Mathematics","Fall",12,211,20
"Mathematics","Fall",0,133,25
"Mathematics","Fall",1,150,25
"Mathematics","Fall",2,162,25
"Mathematics","Fall",3,174,25
"Mathematics","Fall",4,186,25
"Mathematics","Fall",5,195,25
"Mathematics","Fall",6,199,25
"Mathematics","Fall",7,206,25
"Mathematics","Fall",8,210,25
"Mathematics","Fall",9,213,25
"Mathematics","Fall",10,214,25
"Mathematics","Fall",11,215,25
"Mathematics","Fall",12,214,25
"Mathematics","Fall",0,135,30
"Mathematics","Fall",1,152,30
"Mathematics","Fall",2,165,30
"Mathematics","Fall",3,176,30
"Mathematics","Fall",4,189,30
"Mathematics","Fall",5,198,30
"Mathematics","Fall",6,202,30
"Mathematics","Fall",7,208,30
"Mathematics","Fall",8,212,30
"Mathematics","Fall",9,216,30
"Mathematics","Fall",10,217,30
"Mathematics","Fall",11,218,30
"Mathematics","Fall",12,217,30
"Mathematics","Fall",0,136,35
"Mathematics","Fall",1,154,35
"Mathematics","Fall",2,167,35
"Mathematics","Fall",3,178,35
"Mathematics","Fall",4,191,35
"Mathematics","Fall",5,200,35
"Mathematics","Fall",6,204,35
"Mathematics","Fall",7,211,35
"Mathematics","Fall",8,215,35
"Mathematics","Fall",9,218,35
"Mathematics","Fall",10,220,35
"Mathematics","Fall",11,221,35
"Mathematics","Fall",12,220,35
"Mathematics","Fall",0,138,40
"Mathematics","Fall",1,156,40
"Mathematics","Fall",2,169,40
"Mathematics","Fall",3,180,40
"Mathematics","Fall",4,193,40
"Mathematics","Fall",5,202,40
"Mathematics","Fall",6,206,40
"Mathematics","Fall",7,213,40
"Mathematics","Fall",8,217,40
"Mathematics","Fall",9,220,40
"Mathematics","Fall",10,222,40
"Mathematics","Fall",11,224,40
"Mathematics","Fall",12,223,40
"Mathematics","Fall",0,140,45
"Mathematics","Fall",1,158,45
"Mathematics","Fall",2,171,45
"Mathematics","Fall",3,182,45
"Mathematics","Fall",4,195,45
"Mathematics","Fall",5,204,45
"Mathematics","Fall",6,208,45
"Mathematics","Fall",7,215,45
"Mathematics","Fall",8,220,45
"Mathematics","Fall",9,223,45
"Mathematics","Fall",10,224,45
"Mathematics","Fall",11,227,45
"Mathematics","Fall",12,226,45
"Mathematics","Fall",0,141,50
"Mathematics","Fall",1,159,50
"Mathematics","Fall",2,173,50
"Mathematics","Fall",3,184,50
"Mathematics","Fall",4,197,50
"Mathematics","Fall",5,206,50
"Mathematics","Fall",6,210,50
"Mathematics","Fall",7,217,50
"Mathematics","Fall",8,222,50
"Mathematics","Fall",9,225,50
"Mathematics","Fall",10,227,50
"Mathematics","Fall",11,229,50
"Mathematics","Fall",12,228,50
"Mathematics","Fall",0,143,55
"Mathematics","Fall",1,161,55
"Mathematics","Fall",2,175,55
"Mathematics","Fall",3,186,55
"Mathematics","Fall",4,199,55
"Mathematics","Fall",5,208,55
"Mathematics","Fall",6,212,55
"Mathematics","Fall",7,219,55
"Mathematics","Fall",8,224,55
"Mathematics","Fall",9,227,55
"Mathematics","Fall",10,229,55
"Mathematics","Fall",11,232,55
"Mathematics","Fall",12,231,55
"Mathematics","Fall",0,144,60
"Mathematics","Fall",1,163,60
"Mathematics","Fall",2,177,60
"Mathematics","Fall",3,188,60
"Mathematics","Fall",4,201,60
"Mathematics","Fall",5,210,60
"Mathematics","Fall",6,214,60
"Mathematics","Fall",7,222,60
"Mathematics","Fall",8,227,60
"Mathematics","Fall",9,229,60
"Mathematics","Fall",10,232,60
"Mathematics","Fall",11,234,60
"Mathematics","Fall",12,233,60
"Mathematics","Fall",0,146,65
"Mathematics","Fall",1,164,65
"Mathematics","Fall",2,179,65
"Mathematics","Fall",3,190,65
"Mathematics","Fall",4,203,65
"Mathematics","Fall",5,212,65
"Mathematics","Fall",6,216,65
"Mathematics","Fall",7,224,65
"Mathematics","Fall",8,229,65
"Mathematics","Fall",9,232,65
"Mathematics","Fall",10,234,65
"Mathematics","Fall",11,237,65
"Mathematics","Fall",12,236,65
"Mathematics","Fall",0,148,70
"Mathematics","Fall",1,166,70
"Mathematics","Fall",2,181,70
"Mathematics","Fall",3,192,70
"Mathematics","Fall",4,205,70
"Mathematics","Fall",5,215,70
"Mathematics","Fall",6,219,70
"Mathematics","Fall",7,226,70
"Mathematics","Fall",8,232,70
"Mathematics","Fall",9,234,70
"Mathematics","Fall",10,237,70
"Mathematics","Fall",11,240,70
"Mathematics","Fall",12,239,70
"Mathematics","Fall",0,149,75
"Mathematics","Fall",1,168,75
"Mathematics","Fall",2,183,75
"Mathematics","Fall",3,195,75
"Mathematics","Fall",4,208,75
"Mathematics","Fall",5,217,75
"Mathematics","Fall",6,221,75
"Mathematics","Fall",7,229,75
"Mathematics","Fall",8,234,75
"Mathematics","Fall",9,237,75
"Mathematics","Fall",10,239,75
"Mathematics","Fall",11,243,75
"Mathematics","Fall",12,242,75
"Mathematics","Fall",0,152,80
"Mathematics","Fall",1,171,80
"Mathematics","Fall",2,186,80
"Mathematics","Fall",3,197,80
"Mathematics","Fall",4,210,80
"Mathematics","Fall",5,220,80
"Mathematics","Fall",6,224,80
"Mathematics","Fall",7,232,80
"Mathematics","Fall",8,237,80
"Mathematics","Fall",9,240,80
"Mathematics","Fall",10,242,80
"Mathematics","Fall",11,246,80
"Mathematics","Fall",12,246,80
"Mathematics","Fall",0,154,85
"Mathematics","Fall",1,173,85
"Mathematics","Fall",2,189,85
"Mathematics","Fall",3,200,85
"Mathematics","Fall",4,214,85
"Mathematics","Fall",5,223,85
"Mathematics","Fall",6,227,85
"Mathematics","Fall",7,235,85
"Mathematics","Fall",8,241,85
"Mathematics","Fall",9,243,85
"Mathematics","Fall",10,246,85
"Mathematics","Fall",11,250,85
"Mathematics","Fall",12,250,85
"Mathematics","Fall",0,157,90
"Mathematics","Fall",1,176,90
"Mathematics","Fall",2,193,90
"Mathematics","Fall",3,204,90
"Mathematics","Fall",4,217,90
"Mathematics","Fall",5,227,90
"Mathematics","Fall",6,231,90
"Mathematics","Fall",7,239,90
"Mathematics","Fall",8,246,90
"Mathematics","Fall",9,248,90
"Mathematics","Fall",10,251,90
"Mathematics","Fall",11,255,90
"Mathematics","Fall",12,255,90
"Mathematics","Fall",0,161,95
"Mathematics","Fall",1,181,95
"Mathematics","Fall",2,198,95
"Mathematics","Fall",3,210,95
"Mathematics","Fall",4,223,95
"Mathematics","Fall",5,233,95
"Mathematics","Fall",6,237,95
"Mathematics","Fall",7,246,95
"Mathematics","Fall",8,252,95
"Mathematics","Fall",9,254,95
"Mathematics","Fall",10,257,95
"Mathematics","Fall",11,263,95
"Mathematics","Fall",12,263,95
